File,IMO Number,Name
EU2,5342883,Chongchongang Shipping Co LTD
EU2,5571322,CHONMYONG SHIPPING CO
EU2,5963351,FIRST OIL JV CO LTD
EU2,5787684,HAPJANGGANG SHIPPING CORP
EU2,5936312,KOREA ACHIM SHIPPING CO
EU2,5676084,Korea Ansan SHPG CO
EU2,5985863,KOREA MYONGDOK SHIPPING CO
EU2,5954061,KOREA SAMJONG SHIPPING
EU2,5145892,KOREA SAMMA SHIPPING CO.
EU2,5434358,KOREA YUJONG SHIPPING CO LTD
EU2,5982254,KOTI CORP
EU2,5988369,MYOHYANG SHIPPING CO
EU2,5878561,PHYONGCHON SHIPPING & MARINE
EU2,5905801,Weihai World-Shipping Freight
EU2,5987860,YUK TUNG ENERGY PTE LTD
EU2,8514306,Unica
EU2,9036387,New Konk
